IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP113
"г.Нур-Султан (Астана), Салон &quot;Дизайн Авеню&quot; , ИП &quot;Демир&quot; ";ул.Момышулы, 12, 1 этаж;;;"ИП ""Демир""";"Салон ""Дизайн Авеню""";7022833383;region2@evp.kz;zakaz@evp.kz;;11:00 - 17:00;11:00 - 17:00;Выходной;Нет;;3342
"г.Нур-Султан (Астана), Магазин &quot;Обои лайк&quot; , ИП &quot;Транссервис&quot; ";ул. Кабанбай батыра, 11, 1 этаж;;;"ИП ""Транссервис""";"Магазин ""Обои лайк""";7019857558;region2@evp.kz;zakaz@evp.kz;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Нет;Вторник;3342
"Павлодар, Магазин &quot;Style Decor&quot;  (ИП &quot;Гартман&quot;) ";ул.Машхур Жусупа, 1, этаж 1;;;"ИП ""Гартман""";"Магазин ""Style Decor""";7022106812;region2@evp.kz;zakaz@evp.kz;;10:00 - 18:00;10:00 - 18:00;Выходной;Нет;;6331
"Семей, Магазин &quot;Домострой&quot; (ТОО &quot;Крафт&quot;) ";ул.Кабанбай батыра, 21, 1 этаж;"ТД ""Домострой""";;"ТОО ""Крафт""";"Магазин ""Домострой""";7772525052;region2@evp.kz;zakaz@evp.kz;;09:00 - 18:00;09:00 - 18:00;Выходной;Нет;;98468
"Усть-Каменогорск, Салон &quot;DecoRoom&quot; (ИП &quot;Бутрина&quot;) ";улица Сатпаева, 127/1 (1 этаж);"ТД ""Svoy dom""";;"ИП ""Бутрина""";"Салон ""DecoRoom""";7772470909;region2@evp.kz;zakaz@evp.kz;;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;3247
"Алматы, ИП &quot;Тихонов&quot; ";ул.Шевченко, 204А, бутик 4 (1 этаж);"ТД ""Саламат""";;"ИП ""Тихонов""";;7016775599;region2@evp.kz;zakaz@evp.kz;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3310
"Алматы, ИП &quot;Азизулла Фазезуллах&quot; ";ул.Шевченко, 204, бутик 15 (2 этаж);"ТД ""Саламат""";;"ИП ""Азизулла Фазезуллах""";;"7076537708; 7017447540";region2@evp.kz;zakaz@evp.kz;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3310
"Алматы, ИП &quot;Шевченко&quot; ";ул.Рыскулова, 103В (1 этаж);"ТД ""Стройсити""";;"ИП ""Шевченко""";;"7011417647; 7470637226";region2@evp.kz;zakaz@evp.kz;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3310
"Псков, ООО &quot;Пристань&quot; улица Л. Поземского ";улица Л. Поземского, д. 92, пав. 22;Строительный рынок на Алмазной;;"ООО ""Пристань""";;9658102515;;;;09:00 - 18:00;09:00 - 16:00;09:00 - 16:00;Да;;3318
"Шымкент, салон &quot;Мастер Лес Interiors&quot; ИП Кудинов ";ул. Толстого, 35 ;;;ИП Кудинов А.А.;"салон ""Мастер Лес Interiors""";"7024000426; 7029143544";region1@evp.kz;zakaz@evp.kz;;10:00 - 18:00;10:00 - 18:00;Выходной;Нет;;3312
"Северодвинск, Интерьерный салон &quot;Лигрант&quot; (ООО &quot;Комплект&quot;) ";ул. Плюснина, д.1, 1 этаж;Интерьерный салон;пл. Ленина;"ООО ""Комплект""";"Интерьерный салон ""Лигрант""";9523061880;arh.evroplast@inbox.ru;arh.evroplast@inbox.ru;;11:00 - 19:00;11:00 - 17:00;11:00 - 17:00;Да;;102940
Саранск, Элит Декор (ИП Козлова И.В.) ;ул Строительная, д. 2В, 1 этаж, пав. 1 и 2;Торгово-офисное здание;;ИП Козлова И.В.;Элит Декор;"8342362600; 9176920022";diz-nov-dom@yandex.ru;diz-nov-dom@yandex.ru;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;6137
Московская обл, Серпуховской р-н, д.Ивановское (ИП Бутырская Т.Б.) ;Московская обл, Серпуховской р-н, д.Ивановское, ул.Пролетарская, д. 45;"Торговый центр ""Арт Строй""";;ИП Бутырская Т.Б.;Обойный шоу-рум;;;;;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
Московская обл, Серпуховской р-н, д.Ивановское (ИП Никишина) ;Московская обл., г.Серпухов, ул. Войкова, д.36/1 (1 этаж);;Автомойка Ока;ИП Никишина ;Салон плитки и дизайна;;oksel-plitka@yandex.ru;oksel-plitka@yandex.ru;;10:00 - 19:00;10:00 - 17:00;10:00 - 17:00;Да;;3109
Московская обл., г.Жуковский, ИП Кирилов А.В. ;г. Жуковский, ул. Театральная, д. 3, стр. 1, 1 этаж, пав. 245 и 7ОП (Теремок);Ярмарка на Театральной;;ИП Кирилов А.В.;Лепнина;9261494046;planeta-decora@mail.ru;planeta-decora@mail.ru;planeta-decora.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
"Новый Уренгой, Салон &quot;Венеция&quot; (ИП Новицкий Станислав Аркадьевич) ";мкр. Мирный, 1/7 А;;;ИП Новицкий Станислав Аркадьевич;"Салон ""Венеция""";"9220022161; 9292578844";interplus86@mail.ru;interplus86@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Нет;Понедельник;6299
"Абакан, &quot;ЗОДЧИЕ&quot; на  Кирова 120 (ИП Брух Н.П.) ";улица Кирова, д. 120, этаж 1;;;ИП Брух Н.П.;"""QuickStep""";"3902248881; 3902346800";admzodchie@mail.ru;admzodchie@mail.ru;;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;3255
Абакан, склад (ИП Рожков С.Б.) ;улица Фабричная, д. 29, этаж 1;;;ИП Рожков С.Б.;склад;3902287711;;;;09:30 - 18:30;Выходной;Выходной;Нет;;3255
